Username,Email,Password,member_id,first_name,middle_name,last_name,gender,birth_date,address,city_name,mobile_number,phone,fax_number,skype_id,join_church_date,baptist_date,Volunteer,occupation,education,marital_status
abc,abc@gmail.com,$P$BQNPHanvbrUGUWOsQHqFIP1.FvhaCo0,M80923,umang,,parmar,male,2023-09-21,c,a,9898989898,,,,2023-09-14,2023-09-21,no,,,unmarried
gitanjalidabhi,gitanjali@test.com,$P$Bst9Jrw2gM48lhrCfDguOcXa5K8pP5/,M40923,Gitanjali,,Dabhi,female,2003-10-23,"132, My Street, Kingston, New York 12401.  132, My Street, Kingston, New York 12401.  132, My Street, Kingston, New York 12401.",gjhgjhgjjhjgj,8596325654,,,,2023-09-12,2023-09-13,no,,,unmarried
jiyapatel,amisha+123@dasinfomedia.com,$P$BjUBMwusrAQ5XzglGkfwoTLWMzKjIa/,M20923,Jiya,,Patel,female,2005-02-09,"ahemdabad,gujarat.",ahemdabad,7896589654,,,,2023-09-04,2023-09-06,no,,,unmarried
karanpatel,karan@test.com,$P$BrD5/hoKbygQiLMjKQiRdwNqoIannI0,M30923,Karan,,Patel,male,2023-09-12,Gandhinagar,Gandhinagar,8521456985,,,,2023-09-12,2023-09-19,no,,,unmarried
kinalpatel,kinal@test.com,$P$BvD6oGjyoZQYcjuuC4OKAGsryzqmAf/,M40923,Kinal,,Patel,female,2023-05-15,"132, My Street, Kingston, New York 12401.  132, My Street, Kingston, New York 12401.  132, My Street, Kingston, New York 12401.",Gandhinagar,8963256985,,,,2023-09-13,2023-09-21,no,,,unmarried
member,member@gmail.com,$P$BlIEypAQmMvSnYafs25pwyxpJLkULC0,M10323,Member,,Member,male,2023-03-21,"sector -11, suman tower, second floor,gandhinagar,382011.",test,7894561330,,,,2023-03-01,2023-03-31,no,,,unmarried
namratapatel,namrata@test.com,$P$B/lS3J71pNmMYfXC7PiG1pQRH6mjqo.,M50923,Namrata,,Patel,female,2023-09-14,Gandhinagar,Gandhinagar,9523698569,,,,2023-09-12,2023-09-28,no,,,married
nikhilinani,nikhil@test.com,$P$BexHvihxZzVNrbvaPXYGFYETaLesYY0,M30923,Nikhil,,Inani,male,2023-09-04,gandhinagar,gandhinagar,8596968596,,,,2023-09-04,2023-09-12,no,,,unmarried
nimapatel,nima+123@dasinfomedia.com,$P$BYjx/kQ0pre5Zu8LrIk0f6zenO2NjQ.,M20923,nima,,Patel,female,2005-03-09,"ahemdabad,gujarat.",ahemdabad,78965523698,,,,2023-09-04,2023-09-06,no,,,unmarried
nimishapatel,nimisha@test.com,$P$Bo9TKDmnMCcneKs/2DpmT4TV3dhEhe/,M70923,Nimisha,,Patel,female,2023-04-24,"132, My Street, Kingston, New York 12401.  132, My Street, Kingston, New York 12401.  132, My Street, Kingston, New York 12401.",Gandhinagar,7896589632,,,,2023-09-19,2023-09-27,no,,,unmarried
sonamkapoor,sonam@gmail.com,$P$BhGExWE.bGOEdch39sbjVRKMbMADCJ1,M60923,sonam,,kapoor,female,2023-09-15,"gandhinagar, gujarat, india.",Gandhinagar,9632589656,,,,2023-09-05,2023-09-20,no,,,unmarried
